query,top_match,confidence,above_threshold,runners_up
what is Google AI overview,AI Overviews and generative search,0.672,yes,Generative engine optimisation 0.612; AI in medicine 0.576
is the AI summary at the top accurate,AI Overviews and generative search,0.681,yes,Generative engine optimisation 0.536; AI disinformation 0.502
why is there an AI answer above my results,AI Overviews and generative search,0.621,yes,AI disinformation 0.572; Training data and the open web 0.548
can AI overviews be wrong,AI Overviews and generative search,0.754,yes,AI disinformation 0.567; AI in medicine 0.527
AI overview versus the normal results,AI Overviews and generative search,0.748,yes,Generative engine optimisation 0.597; Training data and the open web 0.565
is Google accessible for screen readers,Accessibility of search,0.515,yes,Children and search 0.352; The Google effect on memory 0.329
how do blind people use search,Accessibility of search,0.588,yes,Personalisation and why your results differ 0.443; The Google effect on memory 0.431
search engine accessibility,Accessibility of search,0.778,yes,Artificial Intelligence and Search Engines 0.449; Children and search 0.439
is search usable with low vision,Accessibility of search,0.496,yes,Artificial Intelligence and Search Engines 0.371; The Google effect on memory 0.340
accessible search for disabled users,Accessibility of search,0.570,yes,Children and search 0.332; Facial recognition bans 0.231
is Google tracking my searches,Ad tracking and what you reveal by searching,0.585,yes,Personalisation and why your results differ 0.437; The Google effect on memory 0.420
why do ads follow me after I search for something,Ad tracking and what you reveal by searching,0.571,yes,Advertising and sponsored results 0.553; Personalisation and why your results differ 0.373
what data does search collect about me,Personalisation and why your results differ,0.537,yes,Ad tracking and what you reveal by searching 0.461; Data harvesting 0.410
are my searches used for advertising,Advertising and sponsored results,0.596,yes,Ad tracking and what you reveal by searching 0.575; Personalisation and why your results differ 0.429
how do I stop search tracking me,Ad tracking and what you reveal by searching,0.497,yes,Personalisation and why your results differ 0.292; Artificial Intelligence and Search Engines 0.281
are the top Google results ads,Advertising and sponsored results,0.613,yes,How results are ranked 0.403; Ad tracking and what you reveal by searching 0.374
what does sponsored mean in search,Advertising and sponsored results,0.631,yes,Ad tracking and what you reveal by searching 0.375; Personalisation and why your results differ 0.287
why are there ads at the top of search,Advertising and sponsored results,0.642,yes,Ad tracking and what you reveal by searching 0.511; How results are ranked 0.429
how do I tell ads from real results,Advertising and sponsored results,0.609,yes,Ad tracking and what you reveal by searching 0.417; Real estate market bubbles 0.329
are search ads clearly labelled,Advertising and sponsored results,0.566,yes,Ad tracking and what you reveal by searching 0.469; Ad tracking ethics 0.332
should I use ChatGPT instead of Google,Asking a chatbot instead of searching,0.405,yes,Social media 0.281; Social media algorithms 0.233
is it better to ask a chatbot or search,Asking a chatbot instead of searching,0.666,yes,Artificial Intelligence and Search Engines 0.408; Voice assistants and the single spoken answer 0.308
can I trust what ChatGPT tells me,Asking a chatbot instead of searching,0.410,yes,Social media echo chambers 0.343; Whistleblower risks privacy 0.296
why does the chatbot give different answers each time,Asking a chatbot instead of searching,0.578,yes,Voice assistants and the single spoken answer 0.370; Training data and the open web 0.256
do chatbots make things up,Asking a chatbot instead of searching,0.565,yes,Training data and the open web 0.299; Artificial Intelligence and Search Engines 0.279
how does Google autocomplete work,Autocomplete and query suggestions,0.558,yes,The Google effect on memory 0.265; Concentration and defaults 0.236
why does search suggest these questions,Autocomplete and query suggestions,0.586,yes,Children and search 0.486; Accessibility of search 0.467
where do search predictions come from,Autocomplete and query suggestions,0.575,yes,How results are ranked 0.473; Artificial Intelligence and Search Engines 0.437
can autocomplete be biased,Autocomplete and query suggestions,0.558,yes,Election fraud claims 0.216; AI bias in hiring 0.194
why does it finish my search for me,Personalisation and why your results differ,0.435,yes,Advertising and sponsored results 0.408; Autocomplete and query suggestions 0.398
is Google safe for kids,Children and search,0.598,yes,Social media data exploitation 0.331; Spyware 0.318
how do children use search engines,Children and search,0.672,yes,Artificial Intelligence and Search Engines 0.527; Accessibility of search 0.427
safe search for children,Children and search,0.650,yes,Accessibility of search 0.365; Artificial Intelligence and Search Engines 0.310
do kids understand search results,Children and search,0.681,yes,Accessibility of search 0.489; Personalisation and why your results differ 0.474
should children use Google,Children and search,0.640,yes,The Google effect on memory 0.366; Accessibility of search 0.332
why does everyone use Google,The Google effect on memory,0.444,yes,Children and search 0.413; Concentration and defaults 0.407
how much of search does Google control,The Google effect on memory,0.495,yes,Artificial Intelligence and Search Engines 0.424; Concentration and defaults 0.416
why is Google the default search engine,Concentration and defaults,0.580,yes,Artificial Intelligence and Search Engines 0.458; How results are ranked 0.405
are a few companies controlling how we search,Artificial Intelligence and Search Engines,0.515,yes,Ad tracking and what you reveal by searching 0.472; Personalisation and why your results differ 0.452
what are the alternatives to the big tech defaults,Concentration and defaults,0.585,yes,Big data 0.471; Wearable tech 0.446
what are dark patterns,Dark patterns and the design of consent,0.561,yes,Dark Web anonymity 0.324; Dark Web finance 0.262
why is reject all so hard to find,Book bans,0.295,no,Misinformation vs. censorship 0.254; Accessibility of search 0.249
are cookie banners designed to trick you,Dark patterns and the design of consent,0.497,yes,Ad tracking ethics 0.266; Personal branding 0.260
what is a dark pattern in web design,Dark patterns and the design of consent,0.651,yes,Dark Web anonymity 0.408; Dark Web finance 0.378
how do websites manipulate your choices,Dark patterns and the design of consent,0.407,yes,Autocomplete and query suggestions 0.402; Concentration and defaults 0.378
are filter bubbles real,"Filter bubbles, the evidence and the myth",0.595,yes,Real estate market bubbles 0.570; Fake news 0.322
do filter bubbles actually exist,"Filter bubbles, the evidence and the myth",0.567,yes,Real estate market bubbles 0.505; Personalisation and why your results differ 0.245
is the echo chamber idea a myth,Social media echo chambers,0.474,yes,"Filter bubbles, the evidence and the myth 0.391; Supernatural government experiments 0.263"
does personalisation trap me in a bubble,"Filter bubbles, the evidence and the myth",0.563,yes,Personalisation and why your results differ 0.449; Personal branding 0.362
what does the evidence say about filter bubbles,"Filter bubbles, the evidence and the myth",0.639,yes,Real estate market bubbles 0.468; HAARP weather manipulation 0.250
what is generative engine optimisation,Generative engine optimisation,0.521,yes,Gene editing 0.259; How results are ranked 0.255
how do brands get mentioned in AI answers,Generative engine optimisation,0.545,yes,Training data and the open web 0.536; AI Overviews and generative search 0.515
can you optimise content for ChatGPT,Asking a chatbot instead of searching,0.329,no,Generative engine optimisation 0.290; Social media algorithms 0.271
why does the same brand keep appearing in AI results,AI disinformation,0.499,yes,Unregulated AI 0.457; Generative engine optimisation 0.453
GEO versus SEO,Maps as search,0.361,no,How results are ranked 0.343; Generative engine optimisation 0.337
how does Google rank pages,How results are ranked,0.598,yes,Generative engine optimisation 0.391; Children and search 0.326
why is this result first,How results are ranked,0.250,no,COVID-19 misinformation 0.222; Advertising and sponsored results 0.220
how does search decide what to show,Advertising and sponsored results,0.562,yes,Personalisation and why your results differ 0.558; How results are ranked 0.541
what are ranking signals,How results are ranked,0.630,yes,Generative engine optimisation 0.303; Advertising and sponsored results 0.296
why does the top result win,How results are ranked,0.440,yes,Advertising and sponsored results 0.298; Generative engine optimisation 0.228
how does reverse image search work,Image search and reverse image search,0.676,yes,Artificial Intelligence and Search Engines 0.368; Personalisation and why your results differ 0.342
how to find where an image came from,Image search and reverse image search,0.577,yes,Maps as search 0.238; Social media and self-image 0.218
how to check if a photo is real,Image search and reverse image search,0.528,yes,Social media and self-image 0.291; Fake news 0.281
find the original of a picture,Image search and reverse image search,0.468,yes,Social media and self-image 0.188; Personalisation and why your results differ 0.168
is this image old or out of context,Image search and reverse image search,0.412,yes,Modern media propaganda 0.260; Misinformation identification 0.258
why does Google Maps show different borders,Maps as search,0.582,yes,Personalisation and why your results differ 0.281; Dark patterns and the design of consent 0.221
is Crimea shown as part of Russia on maps,Maps as search,0.491,yes,Ukraine war 0.366; Foreign election interference 0.162
why are map results different by country,Maps as search,0.648,yes,Globalism vs. nationalism 0.282; Personalisation and why your results differ 0.261
are the pins on maps paid for,Maps as search,0.378,no,Facial recognition regulation 0.210; Smart cities 0.191
do maps take sides on disputed borders,Maps as search,0.636,yes,Gerrymandering 0.274; Political polarization 0.273
why are my search results different from someone else's,Personalisation and why your results differ,0.636,yes,Advertising and sponsored results 0.450; Asking a chatbot instead of searching 0.396
does Google personalise my results,Personalisation and why your results differ,0.596,yes,The Google effect on memory 0.399; Advertising and sponsored results 0.342
why do I see different results to my friend,Personalisation and why your results differ,0.506,yes,Psychology of misinformation 0.282; Advertising and sponsored results 0.241
how does search use my history,Personalisation and why your results differ,0.502,yes,The Google effect on memory 0.453; Autocomplete and query suggestions 0.386
are my results based on me,Personalisation and why your results differ,0.463,yes,Advertising and sponsored results 0.309; Autocomplete and query suggestions 0.250
how do recommendation algorithms work,Recommendation systems,0.658,yes,Autocomplete and query suggestions 0.405; Children and search 0.368
why does YouTube recommend these videos,Recommendation systems,0.328,no,Children and search 0.268; Social media algorithms 0.256
how does Netflix know what I like,Recommendation systems,0.368,no,Personalisation and why your results differ 0.298; Autocomplete and query suggestions 0.240
why does autoplay keep going,Autocomplete and query suggestions,0.229,no,Automation in warfare 0.197; Concentration and defaults 0.197
how do recommended feeds decide what to show,Recommendation systems,0.560,yes,Algorithmic bias in news feeds 0.371; Children and search 0.353
